Geographic Area,County,State,Abbreviation,2019 Population _ Census
"Candler County, Georgia",Candler, Georgia, GeorgiaCandler,10803
"Carroll County, Georgia",Carroll, Georgia, GeorgiaCarroll,119992
"Catoosa County, Georgia",Catoosa, Georgia, GeorgiaCatoosa,67580
"Charlton County, Georgia",Charlton, Georgia, GeorgiaCharlton,13392
"Chatham County, Georgia",Chatham, Georgia, GeorgiaChatham,289430
"Chattahoochee County, Georgia",Chattahoochee, Georgia, GeorgiaChattahoochee,10907
"Chattooga County, Georgia",Chattooga, Georgia, GeorgiaChattooga,24789
"Cherokee County, Georgia",Cherokee, Georgia, GeorgiaCherokee,258773
"Clarke County, Georgia",Clarke, Georgia, GeorgiaClarke,128331
"Clay County, Georgia",Clay, Georgia, GeorgiaClay,2834
"Clayton County, Georgia",Clayton, Georgia, GeorgiaClayton,292256
"Clinch County, Georgia",Clinch, Georgia, GeorgiaClinch,6618
"Cobb County, Georgia",Cobb, Georgia, GeorgiaCobb,760141
"Coffee County, Georgia",Coffee, Georgia, GeorgiaCoffee,43273
"Colquitt County, Georgia",Colquitt, Georgia, GeorgiaColquitt,45600
"Columbia County, Georgia",Columbia, Georgia, GeorgiaColumbia,156714
"Cook County, Georgia",Cook, Georgia, GeorgiaCook,17270
"Coweta County, Georgia",Coweta, Georgia, GeorgiaCoweta,148509
"Crawford County, Georgia",Crawford, Georgia, GeorgiaCrawford,12404
"Crisp County, Georgia",Crisp, Georgia, GeorgiaCrisp,22372
"Dade County, Georgia",Dade, Georgia, GeorgiaDade,16116
"Dawson County, Georgia",Dawson, Georgia, GeorgiaDawson,26108
"Decatur County, Georgia",Decatur, Georgia, GeorgiaDecatur,26404
"DeKalb County, Georgia",DeKalb, Georgia, GeorgiaDeKalb,759297
"Dodge County, Georgia",Dodge, Georgia, GeorgiaDodge,20605
"Dooly County, Georgia",Dooly, Georgia, GeorgiaDooly,13390
"Dougherty County, Georgia",Dougherty, Georgia, GeorgiaDougherty,87956
"Douglas County, Georgia",Douglas, Georgia, GeorgiaDouglas,146343
"Early County, Georgia",Early, Georgia, GeorgiaEarly,10190
"Echols County, Georgia",Echols, Georgia, GeorgiaEchols,4006
"Effingham County, Georgia",Effingham, Georgia, GeorgiaEffingham,64296
"Elbert County, Georgia",Elbert, Georgia, GeorgiaElbert,19194
"Emanuel County, Georgia",Emanuel, Georgia, GeorgiaEmanuel,22646
"Evans County, Georgia",Evans, Georgia, GeorgiaEvans,10654
"Fannin County, Georgia",Fannin, Georgia, GeorgiaFannin,26188
"Fayette County, Georgia",Fayette, Georgia, GeorgiaFayette,114421
"Floyd County, Georgia",Floyd, Georgia, GeorgiaFloyd,98498
"Forsyth County, Georgia",Forsyth, Georgia, GeorgiaForsyth,244252
"Franklin County, Georgia",Franklin, Georgia, GeorgiaFranklin,23349
"Fulton County, Georgia",Fulton, Georgia, GeorgiaFulton,1063937
"Gilmer County, Georgia",Gilmer, Georgia, GeorgiaGilmer,31369
"Glascock County, Georgia",Glascock, Georgia, GeorgiaGlascock,2971
"Glynn County, Georgia",Glynn, Georgia, GeorgiaGlynn,85292
"Gordon County, Georgia",Gordon, Georgia, GeorgiaGordon,57963
"Grady County, Georgia",Grady, Georgia, GeorgiaGrady,24633
"Greene County, Georgia",Greene, Georgia, GeorgiaGreene,18324
"Gwinnett County, Georgia",Gwinnett, Georgia, GeorgiaGwinnett,936250
"Habersham County, Georgia",Habersham, Georgia, GeorgiaHabersham,45328
"Hall County, Georgia",Hall, Georgia, GeorgiaHall,204441
"Hancock County, Georgia",Hancock, Georgia, GeorgiaHancock,8457
"Haralson County, Georgia",Haralson, Georgia, GeorgiaHaralson,29792
"Harris County, Georgia",Harris, Georgia, GeorgiaHarris,35236
"Hart County, Georgia",Hart, Georgia, GeorgiaHart,26205
"Heard County, Georgia",Heard, Georgia, GeorgiaHeard,11923
"Henry County, Georgia",Henry, Georgia, GeorgiaHenry,234561
"Houston County, Georgia",Houston, Georgia, GeorgiaHouston,157863
"Irwin County, Georgia",Irwin, Georgia, GeorgiaIrwin,9416
"Jackson County, Georgia",Jackson, Georgia, GeorgiaJackson,72977
"Jasper County, Georgia",Jasper, Georgia, GeorgiaJasper,14219
"Jeff Davis County, Georgia",Jeff, Georgia, GeorgiaJeff,15115
"Jefferson County, Georgia",Jefferson, Georgia, GeorgiaJefferson,15362
"Jenkins County, Georgia",Jenkins, Georgia, GeorgiaJenkins,8676
"Johnson County, Georgia",Johnson, Georgia, GeorgiaJohnson,9643
"Jones County, Georgia",Jones, Georgia, GeorgiaJones,28735
"Lamar County, Georgia",Lamar, Georgia, GeorgiaLamar,19077
"Lanier County, Georgia",Lanier, Georgia, GeorgiaLanier,10423
"Laurens County, Georgia",Laurens, Georgia, GeorgiaLaurens,47546
"Lee County, Georgia",Lee, Georgia, GeorgiaLee,29992
"Liberty County, Georgia",Liberty, Georgia, GeorgiaLiberty,61435
"Lincoln County, Georgia",Lincoln, Georgia, GeorgiaLincoln,7921
"Long County, Georgia",Long, Georgia, GeorgiaLong,19559
"Lowndes County, Georgia",Lowndes, Georgia, GeorgiaLowndes,117406
"Lumpkin County, Georgia",Lumpkin, Georgia, GeorgiaLumpkin,33610
"McDuffie County, Georgia",McDuffie, Georgia, GeorgiaMcDuffie,21312
"McIntosh County, Georgia",McIntosh, Georgia, GeorgiaMcIntosh,14378
"Macon County, Georgia",Macon, Georgia, GeorgiaMacon,12947
"Madison County, Georgia",Madison, Georgia, GeorgiaMadison,29880
"Marion County, Georgia",Marion, Georgia, GeorgiaMarion,8359
"Meriwether County, Georgia",Meriwether, Georgia, GeorgiaMeriwether,21167
"Miller County, Georgia",Miller, Georgia, GeorgiaMiller,5718
"Mitchell County, Georgia",Mitchell, Georgia, GeorgiaMitchell,21863
"Monroe County, Georgia",Monroe, Georgia, GeorgiaMonroe,27578
"Montgomery County, Georgia",Montgomery, Georgia, GeorgiaMontgomery,9172
"Morgan County, Georgia",Morgan, Georgia, GeorgiaMorgan,19276
"Murray County, Georgia",Murray, Georgia, GeorgiaMurray,40096
"Muscogee County, Georgia",Muscogee, Georgia, GeorgiaMuscogee,195769
"Newton County, Georgia",Newton, Georgia, GeorgiaNewton,111744
"Oconee County, Georgia",Oconee, Georgia, GeorgiaOconee,40280
"Oglethorpe County, Georgia",Oglethorpe, Georgia, GeorgiaOglethorpe,15259
"Paulding County, Georgia",Paulding, Georgia, GeorgiaPaulding,168667
"Peach County, Georgia",Peach, Georgia, GeorgiaPeach,27546
"Pickens County, Georgia",Pickens, Georgia, GeorgiaPickens,32591
"Pierce County, Georgia",Pierce, Georgia, GeorgiaPierce,19465
"Pike County, Georgia",Pike, Georgia, GeorgiaPike,18962
"Polk County, Georgia",Polk, Georgia, GeorgiaPolk,42613
"Pulaski County, Georgia",Pulaski, Georgia, GeorgiaPulaski,11137
"Putnam County, Georgia",Putnam, Georgia, GeorgiaPutnam,22119
"Quitman County, Georgia",Quitman, Georgia, GeorgiaQuitman,2299
"Rabun County, Georgia",Rabun, Georgia, GeorgiaRabun,17137
"Randolph County, Georgia",Randolph, Georgia, GeorgiaRandolph,6778
"Richmond County, Georgia",Richmond, Georgia, GeorgiaRichmond,202518
"Rockdale County, Georgia",Rockdale, Georgia, GeorgiaRockdale,90896
"Schley County, Georgia",Schley, Georgia, GeorgiaSchley,5257
"Screven County, Georgia",Screven, Georgia, GeorgiaScreven,13966
"Seminole County, Georgia",Seminole, Georgia, GeorgiaSeminole,8090
"Spalding County, Georgia",Spalding, Georgia, GeorgiaSpalding,66703
"Stephens County, Georgia",Stephens, Georgia, GeorgiaStephens,25925
"Stewart County, Georgia",Stewart, Georgia, GeorgiaStewart,6621
"Sumter County, Georgia",Sumter, Georgia, GeorgiaSumter,29524
"Talbot County, Georgia",Talbot, Georgia, GeorgiaTalbot,6195
"Taliaferro County, Georgia",Taliaferro, Georgia, GeorgiaTaliaferro,1537
"Tattnall County, Georgia",Tattnall, Georgia, GeorgiaTattnall,25286
"Taylor County, Georgia",Taylor, Georgia, GeorgiaTaylor,8020
"Telfair County, Georgia",Telfair, Georgia, GeorgiaTelfair,15860
"Terrell County, Georgia",Terrell, Georgia, GeorgiaTerrell,8531
"Thomas County, Georgia",Thomas, Georgia, GeorgiaThomas,44451
"Tift County, Georgia",Tift, Georgia, GeorgiaTift,40644
"Toombs County, Georgia",Toombs, Georgia, GeorgiaToombs,26830
"Towns County, Georgia",Towns, Georgia, GeorgiaTowns,12037
"Treutlen County, Georgia",Treutlen, Georgia, GeorgiaTreutlen,6901
"Troup County, Georgia",Troup, Georgia, GeorgiaTroup,69922
"Turner County, Georgia",Turner, Georgia, GeorgiaTurner,7985
"Twiggs County, Georgia",Twiggs, Georgia, GeorgiaTwiggs,8120
"Union County, Georgia",Union, Georgia, GeorgiaUnion,24511
"Upson County, Georgia",Upson, Georgia, GeorgiaUpson,26320
"Walker County, Georgia",Walker, Georgia, GeorgiaWalker,69761
"Walton County, Georgia",Walton, Georgia, GeorgiaWalton,94593
"Ware County, Georgia",Ware, Georgia, GeorgiaWare,35734
"Warren County, Georgia",Warren, Georgia, GeorgiaWarren,5254
"Washington County, Georgia",Washington, Georgia, GeorgiaWashington,20374
"Wayne County, Georgia",Wayne, Georgia, GeorgiaWayne,29927
"Webster County, Georgia",Webster, Georgia, GeorgiaWebster,2607
"Wheeler County, Georgia",Wheeler, Georgia, GeorgiaWheeler,7855
"White County, Georgia",White, Georgia, GeorgiaWhite,30798
"Whitfield County, Georgia",Whitfield, Georgia, GeorgiaWhitfield,104628
"Wilcox County, Georgia",Wilcox, Georgia, GeorgiaWilcox,8635
"Wilkes County, Georgia",Wilkes, Georgia, GeorgiaWilkes,9777
"Wilkinson County, Georgia",Wilkinson, Georgia, GeorgiaWilkinson,8954
"Worth County, Georgia",Worth, Georgia, GeorgiaWorth,20247
"Hawaii County, Hawaii",Hawaii, Hawaii, HawaiiHawaii,201513
"Honolulu County, Hawaii",Honolulu, Hawaii, HawaiiHonolulu,974563
"Kalawao County, Hawaii",Kalawao, Hawaii, HawaiiKalawao,86
"Kauai County, Hawaii",Kauai, Hawaii, HawaiiKauai,72293
"Maui County, Hawaii",Maui, Hawaii, HawaiiMaui,167417
"Ada County, Idaho",Ada, Idaho, IdahoAda,481587
"Adams County, Idaho",Adams, Idaho, IdahoAdams,4294
"Bannock County, Idaho",Bannock, Idaho, IdahoBannock,87808
"Bear Lake County, Idaho",Bear, Idaho, IdahoBear,6125
"Benewah County, Idaho",Benewah, Idaho, IdahoBenewah,9298
"Bingham County, Idaho",Bingham, Idaho, IdahoBingham,46811
"Blaine County, Idaho",Blaine, Idaho, IdahoBlaine,23021
"Boise County, Idaho",Boise, Idaho, IdahoBoise,7831
"Bonner County, Idaho",Bonner, Idaho, IdahoBonner,45739
"Bonneville County, Idaho",Bonneville, Idaho, IdahoBonneville,119062
"Boundary County, Idaho",Boundary, Idaho, IdahoBoundary,12245
"Butte County, Idaho",Butte, Idaho, IdahoButte,2597
"Camas County, Idaho",Camas, Idaho, IdahoCamas,1106
"Canyon County, Idaho",Canyon, Idaho, IdahoCanyon,229849
"Caribou County, Idaho",Caribou, Idaho, IdahoCaribou,7155
"Cassia County, Idaho",Cassia, Idaho, IdahoCassia,24030
"Clark County, Idaho",Clark, Idaho, IdahoClark,845
"Clearwater County, Idaho",Clearwater, Idaho, IdahoClearwater,8756
"Custer County, Idaho",Custer, Idaho, IdahoCuster,4315
"Elmore County, Idaho",Elmore, Idaho, IdahoElmore,27511
"Franklin County, Idaho",Franklin, Idaho, IdahoFranklin,13876
"Fremont County, Idaho",Fremont, Idaho, IdahoFremont,13099
"Gem County, Idaho",Gem, Idaho, IdahoGem,18112
"Gooding County, Idaho",Gooding, Idaho, IdahoGooding,15179
"Idaho County, Idaho",Idaho, Idaho, IdahoIdaho,16667
"Jefferson County, Idaho",Jefferson, Idaho, IdahoJefferson,29871
"Jerome County, Idaho",Jerome, Idaho, IdahoJerome,24412
"Kootenai County, Idaho",Kootenai, Idaho, IdahoKootenai,165697
"Latah County, Idaho",Latah, Idaho, IdahoLatah,40108
"Lemhi County, Idaho",Lemhi, Idaho, IdahoLemhi,8027
"Lewis County, Idaho",Lewis, Idaho, IdahoLewis,3838
"Lincoln County, Idaho",Lincoln, Idaho, IdahoLincoln,5366
"Madison County, Idaho",Madison, Idaho, IdahoMadison,39907
"Minidoka County, Idaho",Minidoka, Idaho, IdahoMinidoka,21039
"Nez Perce County, Idaho",Nez, Idaho, IdahoNez,40408
"Oneida County, Idaho",Oneida, Idaho, IdahoOneida,4531
"Owyhee County, Idaho",Owyhee, Idaho, IdahoOwyhee,11823
"Payette County, Idaho",Payette, Idaho, IdahoPayette,23951
"Power County, Idaho",Power, Idaho, IdahoPower,7681
"Shoshone County, Idaho",Shoshone, Idaho, IdahoShoshone,12882
"Teton County, Idaho",Teton, Idaho, IdahoTeton,12142
"Twin Falls County, Idaho",Twin, Idaho, IdahoTwin,86878
"Valley County, Idaho",Valley, Idaho, IdahoValley,11392
"Washington County, Idaho",Washington, Idaho, IdahoWashington,10194
"Adams County, Illinois",Adams, Illinois, IllinoisAdams,65435
"Alexander County, Illinois",Alexander, Illinois, IllinoisAlexander,5761
"Bond County, Illinois",Bond, Illinois, IllinoisBond,16426
"Boone County, Illinois",Boone, Illinois, IllinoisBoone,53544
"Brown County, Illinois",Brown, Illinois, IllinoisBrown,6578
"Bureau County, Illinois",Bureau, Illinois, IllinoisBureau,32628
"Calhoun County, Illinois",Calhoun, Illinois, IllinoisCalhoun,4739
"Carroll County, Illinois",Carroll, Illinois, IllinoisCarroll,14305
"Cass County, Illinois",Cass, Illinois, IllinoisCass,12147
"Champaign County, Illinois",Champaign, Illinois, IllinoisChampaign,209689
"Christian County, Illinois",Christian, Illinois, IllinoisChristian,32304
"Clark County, Illinois",Clark, Illinois, IllinoisClark,15441
"Clay County, Illinois",Clay, Illinois, IllinoisClay,13184
"Clinton County, Illinois",Clinton, Illinois, IllinoisClinton,37562
"Coles County, Illinois",Coles, Illinois, IllinoisColes,50621
"Cook County, Illinois",Cook, Illinois, IllinoisCook,5150233
"Crawford County, Illinois",Crawford, Illinois, IllinoisCrawford,18667
"Cumberland County, Illinois",Cumberland, Illinois, IllinoisCumberland,10766
"DeKalb County, Illinois",DeKalb, Illinois, IllinoisDeKalb,104897
"De Witt County, Illinois",De, Illinois, IllinoisDe,15638
"Douglas County, Illinois",Douglas, Illinois, IllinoisDouglas,19465
"DuPage County, Illinois",DuPage, Illinois, IllinoisDuPage,922921
"Edgar County, Illinois",Edgar, Illinois, IllinoisEdgar,17161
"Edwards County, Illinois",Edwards, Illinois, IllinoisEdwards,6395
"Effingham County, Illinois",Effingham, Illinois, IllinoisEffingham,34008
"Fayette County, Illinois",Fayette, Illinois, IllinoisFayette,21336
"Ford County, Illinois",Ford, Illinois, IllinoisFord,12961
"Franklin County, Illinois",Franklin, Illinois, IllinoisFranklin,38469
"Fulton County, Illinois",Fulton, Illinois, IllinoisFulton,34340
"Gallatin County, Illinois",Gallatin, Illinois, IllinoisGallatin,4828
"Greene County, Illinois",Greene, Illinois, IllinoisGreene,12969
"Grundy County, Illinois",Grundy, Illinois, IllinoisGrundy,51054
"Hamilton County, Illinois",Hamilton, Illinois, IllinoisHamilton,8116
"Hancock County, Illinois",Hancock, Illinois, IllinoisHancock,17708
"Hardin County, Illinois",Hardin, Illinois, IllinoisHardin,3821
"Henderson County, Illinois",Henderson, Illinois, IllinoisHenderson,6646
"Henry County, Illinois",Henry, Illinois, IllinoisHenry,48913
"Iroquois County, Illinois",Iroquois, Illinois, IllinoisIroquois,27114
"Jackson County, Illinois",Jackson, Illinois, IllinoisJackson,56750
"Jasper County, Illinois",Jasper, Illinois, IllinoisJasper,9610
"Jefferson County, Illinois",Jefferson, Illinois, IllinoisJefferson,37684
"Jersey County, Illinois",Jersey, Illinois, IllinoisJersey,21773
"Jo Daviess County, Illinois",Jo, Illinois, IllinoisJo,21235
"Johnson County, Illinois",Johnson, Illinois, IllinoisJohnson,12417
"Kane County, Illinois",Kane, Illinois, IllinoisKane,532403
"Kankakee County, Illinois",Kankakee, Illinois, IllinoisKankakee,109862
"Kendall County, Illinois",Kendall, Illinois, IllinoisKendall,128990
"Knox County, Illinois",Knox, Illinois, IllinoisKnox,49699
"Lake County, Illinois",Lake, Illinois, IllinoisLake,696535
"LaSalle County, Illinois",LaSalle, Illinois, IllinoisLaSalle,108669
"Lawrence County, Illinois",Lawrence, Illinois, IllinoisLawrence,15678
"Lee County, Illinois",Lee, Illinois, IllinoisLee,34096
"Livingston County, Illinois",Livingston, Illinois, IllinoisLivingston,35648
"Logan County, Illinois",Logan, Illinois, IllinoisLogan,28618
"McDonough County, Illinois",McDonough, Illinois, IllinoisMcDonough,29682
"McHenry County, Illinois",McHenry, Illinois, IllinoisMcHenry,307774
"McLean County, Illinois",McLean, Illinois, IllinoisMcLean,171517
"Macon County, Illinois",Macon, Illinois, IllinoisMacon,104009
"Macoupin County, Illinois",Macoupin, Illinois, IllinoisMacoupin,44926
"Madison County, Illinois",Madison, Illinois, IllinoisMadison,262966
"Marion County, Illinois",Marion, Illinois, IllinoisMarion,37205
"Marshall County, Illinois",Marshall, Illinois, IllinoisMarshall,11438
"Mason County, Illinois",Mason, Illinois, IllinoisMason,13359
"Massac County, Illinois",Massac, Illinois, IllinoisMassac,13772
"Menard County, Illinois",Menard, Illinois, IllinoisMenard,12196
"Mercer County, Illinois",Mercer, Illinois, IllinoisMercer,15437
"Monroe County, Illinois",Monroe, Illinois, IllinoisMonroe,34637
"Montgomery County, Illinois",Montgomery, Illinois, IllinoisMontgomery,28414
"Morgan County, Illinois",Morgan, Illinois, IllinoisMorgan,33658
"Moultrie County, Illinois",Moultrie, Illinois, IllinoisMoultrie,14501
"Ogle County, Illinois",Ogle, Illinois, IllinoisOgle,50643
"Peoria County, Illinois",Peoria, Illinois, IllinoisPeoria,179179
"Perry County, Illinois",Perry, Illinois, IllinoisPerry,20916
"Piatt County, Illinois",Piatt, Illinois, IllinoisPiatt,16344
"Pike County, Illinois",Pike, Illinois, IllinoisPike,15561
"Pope County, Illinois",Pope, Illinois, IllinoisPope,4177
"Pulaski County, Illinois",Pulaski, Illinois, IllinoisPulaski,5335
"Putnam County, Illinois",Putnam, Illinois, IllinoisPutnam,5739
"Randolph County, Illinois",Randolph, Illinois, IllinoisRandolph,31782
"Richland County, Illinois",Richland, Illinois, IllinoisRichland,15513
